,dipole_smiles,G_act_min,G_act_mean,G_act_st_dev,G_r_min,G_r_mean,G_r_std_dev
169,C[CH-][NH+]=C(C)C(C)=O,4.974368,20.034082761904763,5.884666279113192,-27.260244,-13.378257152380954,5.6187182861972556
170,CNC(=O)N=[NH+][N-]C(=O)NC,26.916208,34.47329146666667,3.4984505673194377,-19.802095,-6.746043393333332,6.079362185497753
171,C[N-][NH+]=C(C)C(C)=O,15.618002,27.2942416,4.019663015475884,-18.513517,-4.902565394500001,5.841655915688514
172,CNC(=O)C(=[NH+][C-](C(=O)NC)C(=O)NC)C(C)=O,17.45029,27.280753619047616,4.679818466703207,-30.02621,-12.841582472380951,7.676097651613512
173,CNC(=O)C(C)=[O+][CH-]c1ccccc1,-1.1626527,10.78040165652174,6.075144988899584,-60.97701,-43.080142869565215,12.445323977769366
174,COC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)c1ccccc1,26.149967,36.32725047368421,5.770766165707022,-28.581131,-11.15536800263158,7.395516290307218
175,COC(=O)C(=[O+][CH-]C#N)C(C)=O,2.9465408,10.139632630434782,7.0632940473517,-58.136482,-40.71963939130434,14.73701265749321
176,COC(=O)C(C#N)=[N+](C)[N-]C#N,15.406721,19.73144257142857,3.3057025146662027,-21.66694,-8.357351985714287,6.708896581525523
177,COC(=O)[CH-][NH+]=C(C)C(=O)OC,8.399935,21.355734619047617,4.4838119241798875,-30.034443,-14.632881557142857,6.471501866426154
178,CNC(=O)[C-](C)[NH+]=C(C)C(=O)OC,8.158166,23.43562395238095,5.257620167476217,-33.95004,-17.47866506666667,6.894163522660845
179,CNC(=O)C(C)=[NH+][CH-]C#N,5.5090466,19.26994431428571,4.766989054688917,-34.310276,-19.82807138095238,6.10434412831669
180,C[N-][NH+]=Cc1ccccc1,8.578355,22.493144142857147,5.213006071853506,-22.252361,-9.361388901666668,5.472612904696279
181,COC(=O)C(=[O+][C-](C(C)=O)c1ccccc1)C(=O)OC,8.992421,15.088184047619048,3.590924888904382,-51.778004,-34.017223761904766,7.975548978470617
182,CNC(=O)[C-]([O+]=C(c1ccccc1)c1ccccc1)C(=O)OC,17.941528,24.31491345,3.671466235189803,-43.35143,-23.658390175,8.522922352625072
183,C[N+]([CH-]C#N)=C(C#N)c1ccccc1,7.484502,19.486895809523805,4.015531320067415,-33.148678,-20.11443319047619,5.916565422748561
184,CC(C)=[N+](C)[O-],22.37942,32.5950322,4.978691545215934,-2.99806,2.1199678200000003,2.451649482503116
185,C[N-][N+](C)=C(C)c1ccccc1,8.955586,24.1703819047619,5.64602108772671,-23.191813,-9.14310210047619,6.126561033762837
186,[CH2-][O+]=Cc1ccccc1,-6.16335,6.106895354956522,6.040367290512554,-67.45534,-52.34778382608697,12.137429731712846
187,CC(C#N)=[O+][C-](C)C#N,2.6695416,8.8897725875,5.1895712664869444,-61.987022,-45.66767775000001,13.140511567268197
188,[NH-][NH+]=C(c1ccccc1)c1ccccc1,10.597021,23.217430333333333,4.855178010536754,-19.889555,-7.330009942857143,5.819470313684936
189,CNC(=O)C(=[NH+][N-]C(C)=O)C(=O)OC,21.321697,26.66594185714285,3.358980087552966,-25.34905,-9.336701582380952,7.260346045029494
190,CC=[NH+][N-]C(C)=O,19.405855,28.042318666666677,3.9154583579882876,-16.656517,-5.106239972857144,5.093439629675062
