,dipole
393,COC(=O)C(=[O+][C-](C(=O)OC)c1ccccc1)c1ccccc1
394,CNC(=O)C(C(=O)OC)=[N+](C)[NH-]
395,CNC(=O)C=[N+](C)[N-]C(=O)OC
396,CC(=O)[C-](C#N)[O+]=C(C)c1ccccc1
397,CC(=O)C(=[NH+][CH-]C#N)C(C)=O
398,COC(=O)C(=[O+][C-](c1ccccc1)c1ccccc1)C(C)=O
399,CNC(=O)C=[N+](C)[C-](C)C
400,CNC(=O)[CH-][O+]=C(C)C(=O)OC
401,CNC(=O)C(=[O+][CH-]C#N)C(=O)OC
402,CNC(=O)[CH-][O+]=C(C(=O)NC)C(=O)NC
403,CNC(=O)C(=[O+][C-](C)c1ccccc1)c1ccccc1
404,COC(=O)C(=[NH+][C-](C)C(C)=O)C(=O)OC
405,COC(=O)C(=[O+][N-]C(C)=O)c1ccccc1
406,CNC(=O)C(=[O+][C-](C#N)c1ccccc1)C(=O)OC
407,CNC(=O)C=[O+][C-](C#N)C#N
408,COC(=O)C(=[NH+][C-](C(C)=O)c1ccccc1)C(C)=O
409,CNC(=O)C(C)=[N+](C)[N-]C(=O)OC
410,[O-][NH+]=Cc1ccccc1
411,CC(=O)C(C)=[NH+][C-](c1ccccc1)c1ccccc1
412,CNC(=O)C(C#N)=[N+](C)[CH-]C#N
413,COC(=O)[N-][N+](C)=C(C#N)C(=O)OC
414,COC(=O)C(C)=[N+](C)[N-]c1ccccc1
415,[CH2-][O+]=C(C)C
416,CNC(=O)C(=[O+][N-]C#N)C(C)=O
417,CNC(=O)[N-][NH+]=C(C(C)=O)c1ccccc1
418,COC(=O)C(=[O+][C-](C)c1ccccc1)C(C)=O
419,CNC(=O)[C-]([O+]=C(C(C)=O)C(C)=O)C(=O)OC
420,COC(=O)[C-]([NH+]=C(C)C)c1ccccc1
421,CNC(=O)[CH-][N+](C)=C(C(C)=O)C(=O)OC
422,C[CH-][N+](C)=C(C(=O)NC)C(=O)OC
423,CNC(=O)C(C)=[O+][N-]C#N
424,CC(=O)[C-](c1ccccc1)[N+](C)=C(C)c1ccccc1
425,C=[O+][CH-]C(=O)OC
426,C[N-][O+]=C(C)c1ccccc1
427,C[C-](C#N)[N+](C)=C(C#N)c1ccccc1
428,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)C(=O)NC
